Date,Open,High,Low,Close,Adj Close,Volume,stock,Receita Líquida - (R$),Custos - (R$),Lucro Bruto - (R$),Despesas/Receitas Operacionais - (R$),EBITDA - (R$),EBIT - (R$),Resultado Financeiro - (R$),Impostos - (R$),Lucro Líquido - (R$),Lucro atribuído a Controladora,Lucro atribuído a Não Controladores,Dívida Bruta - (R$),Margem Bruta - (%),Margem Ebitda - (%),Margem Líquida - (%)
2022-06-01,1.0,1.0143812812930368,0.9983277846923596,1.0040134060456318,0.5358571022040977,1.0,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-02,1.0023411269470666,1.005016709713846,0.9882943014737426,0.995317746105867,0.5312160891429696,1.0946018829336486,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-03,0.9936454670073016,1.0180602315189555,0.9876254536252416,1.0127090659853966,0.5404981471606882,1.3029715316310415,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-06,1.0200669026463092,1.0210702701054484,1.0003344558197131,1.0133779138338976,0.5408550573859972,0.8459804285356782,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-07,1.009699027398904,1.0468227303141049,1.0086956599397647,1.025418068179868,0.5472811000056073,1.7330777594642872,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-08,1.0173913198795297,1.0418060206002586,1.0143812812930368,1.020401358466022,0.5446035397201531,1.422208175487345,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-09,1.020401358466022,1.025418068179868,1.0026755827667797,1.005685621353272,0.5367495372446824,1.162357722875659,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-10,1.003678950225919,1.003678950225919,0.9719063490533524,0.9916387958799484,0.5292525725763707,1.361323490071883,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-13,0.9705685895654248,0.9892976689328818,0.9588628910391676,0.9789297936854768,0.5224694921496017,1.3916428639230949,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-14,0.9919732516996612,1.0117056985262574,0.9779264262263376,0.989966580572308,0.528360009953936,1.4846202635416756,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-15,1.0033444944062058,1.0040134060456318,0.9645485123924398,0.9725752606927784,0.5190780795180672,1.570241105252712,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-17,0.942140482799064,0.951505054378255,0.8739130265597982,0.9133779202129902,0.4874835826080677,3.982605300173451,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-20,0.8702341401248044,0.9448160655658436,0.8665551898988857,0.9237458592513204,0.493017126396168,1.99731194394346,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-21,0.9297658726333806,0.9418060269793512,0.89264216971818,0.9053511719126516,0.4831995435631735,1.837618546292381,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-22,0.8889632194922612,0.9214046685133288,0.8826086864995629,0.902675589145872,0.4817715518118504,1.2485588912955308,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-23,0.902341133326159,0.9157190471600568,0.87357863453101,0.8859531809057686,0.4728465953922156,1.4942290931370434,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-24,0.8949832966652465,0.9060200835520776,0.8755853056583635,0.8792642558842823,0.4692765362752517,1.1523131089115746,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-27,0.8969899677925999,0.9387959883928584,0.8916388022590408,0.935785949806366,0.4994430414339281,1.9506247680850517,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-28,0.9558528524526748,0.9642140565727266,0.937123773085218,0.9474916483326232,0.5056906608363463,1.1086181752284632,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-29,0.9525083580464692,0.9638796007530136,0.9311036959122329,0.9391304442125716,0.5012281028878726,1.122873933191236,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-06-30,0.9247491629195346,0.9384615325731454,0.9163879587994828,0.9341137344987256,0.4985506382888058,1.076734723816263,PETR4,0.207,0.123,0.2821,1.0612,0.3833,0.4746,-6.2823,0.11,0.2166,0.2192,-0.3063,0.0116,0.0621,0.1461,0.0079
2022-07-01,0.9391304442125716,0.9648829682121528,0.9204013648451148,0.9541806371450346,0.5092605285805352,1.4011589275389833,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-04,0.9545150929647476,0.9792642495051898,0.9545150929647476,0.9745819318201318,0.5201490972531564,0.8052130165770648,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-05,0.9665551835197932,0.9682274626183583,0.9214046685133288,0.9374582289049312,0.5003356359518254,1.6919759585098764,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-06,0.9418060269793512,0.9525083580464692,0.9000000063790925,0.9254180745589607,0.4939096252276778,1.2430037192685726,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-07,0.936454861445792,0.9672240951592193,0.936454861445792,0.9525083580464692,0.5083680616444879,1.12499892132582,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-08,0.9541806371450346,0.9688963104668596,0.9488294716114756,0.9632106891135874,0.5140800924407052,0.929769681489088,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-11,0.9471571925129102,0.9628762970847994,0.9448160655658436,0.9585284352194544,0.5115810510588304,0.8538267045209392,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-12,0.946488280873484,0.9508361427388288,0.9354514939866528,0.9441471539264176,0.5039055674869393,1.0023471950156624,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-13,0.940802659520212,0.9525083580464692,0.935785949806366,0.9448160655658436,0.5042626371895607,0.7657982620401612,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
