Date,Open,High,Low,Close,Adj Close,Volume,stock,Receita Líquida - (R$),Custos - (R$),Lucro Bruto - (R$),Despesas/Receitas Operacionais - (R$),EBITDA - (R$),EBIT - (R$),Resultado Financeiro - (R$),Impostos - (R$),Lucro Líquido - (R$),Lucro atribuído a Controladora,Lucro atribuído a Não Controladores,Dívida Bruta - (R$),Margem Bruta - (%),Margem Ebitda - (%),Margem Líquida - (%)
2022-06-01,1.0,1.0300498464384122,0.9977955396678934,1.0237846080089965,0.8732717682491147,1.0,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-02,1.0442046345361675,1.047453257014015,1.032602360819099,1.0430444248681254,0.8897000609714213,0.957481082604374,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-03,1.0384034976776333,1.042000174204061,1.025176912721641,1.026337122389683,0.8754489649375379,0.7019296314773277,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-06,1.0400278089165569,1.041768167677782,1.0273813730537475,1.0273813730537475,0.8763398133467221,0.5686757632650263,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-07,1.0237846080089965,1.054530651062893,1.022276344292374,1.0513980761073465,0.8968255204700394,1.0284056072417351,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-08,1.0416521201554807,1.048033406107198,1.007657454623737,1.0151989502434962,0.865948293260498,1.026665244926482,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-09,1.009397813384962,1.009397813384962,0.9798119799991076,0.9808562306631722,0.8366545703426792,1.3820495146407503,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-10,0.9672815916585996,0.9860772184285236,0.9557952769455088,0.9810882371894512,0.8368524087960304,1.092562902482587,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-13,0.9525466544676614,0.9614804548000654,0.9293421070335244,0.9499941400869746,0.8103296634816594,1.182475275049602,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-14,0.9552152163706495,0.9606682991806036,0.9385079138922072,0.948137822321772,0.8087462477082606,0.8619744162931425,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
